"id","zip_code","sid","default_state","default_city","default_type"
238,"01068",26,"MA","OAKHAM","STANDARD"
239,"01069",26,"MA","PALMER","STANDARD"
240,"01070",26,"MA","PLAINFIELD","STANDARD"
241,"01071",26,"MA","RUSSELL","STANDARD"
242,"01072",26,"MA","SHUTESBURY","STANDARD"
243,"01073",26,"MA","SOUTHAMPTON","STANDARD"
244,"01074",26,"MA","SOUTH BARRE","PO BOX"
245,"01075",26,"MA","SOUTH HADLEY","STANDARD"
246,"01077",26,"MA","SOUTHWICK","STANDARD"
247,"01079",26,"MA","THORNDIKE","PO BOX"
248,"01080",26,"MA","THREE RIVERS","STANDARD"
249,"01081",26,"MA","WALES","STANDARD"
250,"01082",26,"MA","WARE","STANDARD"
251,"01083",26,"MA","WARREN","PO BOX"
252,"01084",26,"MA","WEST CHESTERFIELD","STANDARD"
253,"01085",26,"MA","WESTFIELD","STANDARD"
254,"01086",26,"MA","WESTFIELD","PO BOX"
255,"01088",26,"MA","WEST HATFIELD","STANDARD"
256,"01089",26,"MA","WEST SPRINGFIELD","STANDARD"
257,"01090",26,"MA","WEST SPRINGFIELD","PO BOX"
258,"01092",26,"MA","WEST WARREN","PO BOX"
259,"01093",26,"MA","WHATELY","PO BOX"
260,"01094",26,"MA","WHEELWRIGHT","PO BOX"
261,"01095",26,"MA","WILBRAHAM","STANDARD"
262,"01096",26,"MA","WILLIAMSBURG","STANDARD"
263,"01097",26,"MA","WORONOCO","PO BOX"
264,"01098",26,"MA","WORTHINGTON","STANDARD"
265,"01101",26,"MA","SPRINGFIELD","PO BOX"
266,"01102",26,"MA","SPRINGFIELD","PO BOX"
267,"01103",26,"MA","SPRINGFIELD","STANDARD"
268,"01104",26,"MA","SPRINGFIELD","STANDARD"
269,"01105",26,"MA","SPRINGFIELD","STANDARD"
270,"01106",26,"MA","LONGMEADOW","STANDARD"
271,"01107",26,"MA","SPRINGFIELD","STANDARD"
